booking_id,hotel_name,hotel_city,hotel_state,hotel_zipcode,hotel_country,booking_for,numbers_of_persons,adults,childrens,days_of_stays,check_in_timestamp,check_out_timestamp,requires_travels_facility,mode_of_travels,amount,discount_category,special_discount,tax,total_amounts,rooms_booked,room_type,booking_source,payment_method,guest_email,booking_status,room_number,guest_type,guest_age,guest_gender
272,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,conference,6.0,4.0,2.0,12.0,2026-01-02 21:29:00,2026-01-14 21:29:00,,bus 25 seater,68039.71,,0.0,12247.15,80286.86,1.0,Family Room,walk_in,cash,guest00272@example.com,cancelled,C312,International,72.0,F
382,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,family,2.0,2.0,0.0,1.0,2025-02-05 23:42:00,2025-02-06 23:42:00,,car,10724.81,working_pro_business_trips,2144.96,1544.37,10124.22,1.0,Suite,corporate_portal,credit_card,guest00382@example.com,checked_in,C312,International,23.0,M
102,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,leisure,7.0,5.0,2.0,3.0,2026-05-01 16:29:00,2026-05-04 16:29:00,No,cycle,15128.76,,2269.31,1543.13,14402.58,2.0,Family Room,travel_agent,net_banking,guest00102@example.com,checked_out,E510,International,63.0,OTHER
127,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,transit,1.0,1.0,0.0,1.0,2026-05-10 21:31:00,2026-05-11 21:31:00,No,cycle,11343.05,childrens_trips,0.0,2041.75,13384.8,1.0,Family Room,phone,cash,guest00127@example.com,pending,A101,India,51.0,M
315,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,leisure,6.0,4.0,2.0,7.0,2025-03-28 04:41:00,2025-04-04 04:41:00,No,cycle,125531.42,students_exploring,12553.14,20336.09,133314.37,3.0,Suite,corporate_portal,upi,guest00315@example.com,pending,B205,International,56.0,M
323,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,family,3.0,2.0,1.0,11.0,2026-08-22 12:29:00,2026-09-02 12:29:00,,e-cycle,170042.44,senior_citizens,0.0,30607.64,200650.08,2.0,Family Room,website,credit_card,guest00323@example.com,confirmed,A101,International,24.0,OTHER
34,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,conference,3.0,3.0,0.0,11.0,2026-01-15 02:32:00,2026-01-26 02:32:00,No,e-cycle,126998.99,students_exploring,12699.9,5714.95,120014.04,3.0,Deluxe,corporate_portal,debit_card,guest00034@example.com,checked_out,,International,57.0,OTHER
74,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,transit,7.0,5.0,2.0,8.0,2025-07-01 20:31:00,2025-07-09 20:31:00,,bus 25 seater,97716.82,,14657.52,,98009.97,2.0,Deluxe,corporate_portal,credit_card,guest00074@example.com,checked_in,D401,International,68.0,F
1,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,business,2.0,2.0,0.0,4.0,2025-01-26 23:17:00,2025-01-30 23:17:00,,motorcycle,16711.55,honeymoon,3342.31,2406.46,15775.7,1.0,Standard,mobile_app,debit_card,guest00001@example.com,checked_out,E510,India,53.0,M
12,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,conference,2.0,1.0,1.0,8.0,2025-12-29 13:26:00,2026-01-06 13:26:00,,bus 25 seater,197061.06,honeymoon,0.0,9853.05,206914.11,1.0,Deluxe,mobile_app,net_banking,guest00012@example.com,checked_in,B205,International,29.0,F
230,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,transit,5.0,5.0,0.0,1.0,2026-02-19 18:13:00,2026-02-20 18:13:00,Yes,bus 25 seater,22540.47,students_exploring,3381.07,2299.13,21458.53,1.0,Family Room,phone,upi,guest00230@example.com,pending,D401,India,43.0,F
194,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,family,5.0,5.0,0.0,3.0,2026-06-04 09:54:00,2026-06-07 09:54:00,,cycle,12193.17,senior_citizens,0.0,2194.77,14387.94,3.0,Business Class,phone,credit_card,guest00194@example.com,pending,C312,India,65.0,F
404,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,transit,8.0,5.0,3.0,12.0,2026-05-13 16:37:00,2026-05-25 16:37:00,Yes,cycle,273572.36,honeymoon,27357.24,12310.76,258525.88,2.0,Family Room,travel_agent,net_banking,guest00404@example.com,confirmed,C312,International,74.0,F
394,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,leisure,4.0,4.0,0.0,2.0,2025-10-19 21:43:00,2025-10-21 21:43:00,Yes,car,46712.49,students_exploring,0.0,5605.5,52317.99,3.0,Suite,corporate_portal,upi,guest00394@example.com,checked_out,,India,39.0,M
408,UNKNOWN,Amsterdam,North Holland,1012,Netherlands,wedding,3.0,1.0,2.0,6.0,2026-05-14 08:21:00,2026-05-20 08:21:00,,e-cycle,88337.51,honeymoon,0.0,15900.75,104238.26,3.0,Standard,corporate_portal,cash,guest00408@example.com,confirmed,A101,India,70.0,OTHER
154,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,leisure,1.0,1.0,0.0,2.0,2026-01-28 02:46:00,2026-01-30 02:46:00,,e-cycle,44477.89,senior_citizens,0.0,5337.35,49815.24,1.0,Family Room,walk_in,credit_card,guest00154@example.com,checked_out,,India,46.0,F
69,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,business,1.0,1.0,0.0,2.0,2025-11-29 18:38:00,2025-12-01 18:38:00,No,motorcycle,38605.82,,0.0,6949.05,45554.87,2.0,Suite,walk_in,cash,guest00069@example.com,checked_in,C312,India,66.0,OTHER
196,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,transit,7.0,5.0,2.0,7.0,2025-05-21 06:21:00,2025-05-28 06:21:00,Yes,car,172831.84,students_exploring,0.0,20739.82,193571.66,2.0,Deluxe,travel_agent,credit_card,guest00196@example.com,confirmed,D401,International,31.0,M
19,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,leisure,2.0,2.0,0.0,2.0,2026-07-29 00:07:00,2026-07-31 00:07:00,No,bus 11 seater,42325.21,honeymoon,6348.78,6475.76,42452.19,2.0,Business Class,website,upi,guest00019@example.com,pending,,India,60.0,M
443,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,leisure,8.0,5.0,3.0,4.0,2025-05-26 09:28:00,2025-05-30 09:28:00,No,bus 11 seater,40599.58,senior_citizens,0.0,2029.98,42629.56,2.0,Deluxe,travel_agent,net_banking,guest00443@example.com,pending,B205,India,19.0,M
189,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,transit,2.0,2.0,0.0,6.0,2025-02-03 14:03:00,2025-02-09 14:03:00,Yes,e-cycle,125432.08,honeymoon,18814.81,12794.07,119411.34,1.0,Business Class,corporate_portal,net_banking,guest00189@example.com,checked_in,B205,International,55.0,OTHER
32,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,wedding,5.0,5.0,0.0,1.0,2025-02-01 07:12:00,2025-02-02 07:12:00,Yes,motorcycle,4728.33,,945.67,189.13,3971.79,2.0,Business Class,mobile_app,net_banking,guest00032@example.com,checked_out,,India,67.0,M
428,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,leisure,5.0,5.0,0.0,9.0,2025-02-16 05:47:00,2025-02-25 05:47:00,,cycle,34932.51,childrens_trips,6986.5,1397.3,29343.31,2.0,Deluxe,walk_in,net_banking,guest00428@example.com,cancelled,,International,58.0,F
40,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,family,6.0,5.0,1.0,2.0,2025-03-08 12:31:00,2025-03-10 12:31:00,Yes,bus 11 seater,6087.46,honeymoon,0.0,1095.74,7183.2,3.0,Suite,walk_in,net_banking,guest00040@example.com,checked_out,B205,International,46.0,F
174,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,wedding,1.0,1.0,0.0,8.0,2026-07-10 09:11:00,2026-07-18 09:11:00,No,car,57574.9,childrens_trips,0.0,2878.75,60453.65,3.0,Deluxe,mobile_app,upi,guest00174@example.com,pending,C312,India,19.0,M
305,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,business,3.0,3.0,0.0,4.0,2025-08-03 10:12:00,2025-08-07 10:12:00,No,bus 11 seater,36817.1,senior_citizens,3681.71,5964.37,39099.76,2.0,Standard,website,net_banking,guest00305@example.com,checked_out,E510,India,31.0,OTHER
156,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,conference,3.0,3.0,0.0,11.0,2025-10-19 22:01:00,2025-10-30 22:01:00,No,e-cycle,174687.74,honeymoon,0.0,31443.79,206131.53,1.0,Suite,corporate_portal,credit_card,guest00156@example.com,pending,D401,India,51.0,M
73,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,family,1.0,1.0,0.0,3.0,2025-08-15 10:49:00,2025-08-18 10:49:00,No,e-cycle,13336.25,,2000.44,566.79,11902.6,1.0,Deluxe,website,debit_card,guest00073@example.com,cancelled,B205,India,56.0,M
463,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,family,3.0,2.0,1.0,11.0,2025-08-14 03:51:00,2025-08-25 03:51:00,No,cycle,31031.99,,4654.8,1318.86,27696.05,1.0,Family Room,mobile_app,net_banking,guest00463@example.com,checked_in,D401,India,32.0,M
94,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,conference,5.0,5.0,0.0,7.0,2026-06-23 13:49:00,2026-06-30 13:49:00,No,e-cycle,170514.47,working_pro_business_trips,34102.89,6820.58,143232.16,2.0,Deluxe,walk_in,net_banking,guest00094@example.com,pending,B205,International,50.0,M
330,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,business,6.0,5.0,1.0,2.0,2025-09-02 15:24:00,2025-09-04 15:24:00,No,car,26785.34,childrens_trips,2678.53,1205.34,25312.15,3.0,Standard,corporate_portal,credit_card,guest00330@example.com,pending,,International,78.0,OTHER
149,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,transit,5.0,2.0,3.0,2.0,2026-06-11 21:52:00,2026-06-13 21:52:00,Yes,e-cycle,40056.06,senior_citizens,0.0,4806.73,44862.79,1.0,Deluxe,phone,upi,guest00149@example.com,pending,,International,49.0,M
245,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,wedding,5.0,5.0,0.0,2.0,2026-06-03 03:35:00,2026-06-05 03:35:00,,bus 25 seater,47541.52,,7131.23,4849.23,45259.52,2.0,Suite,walk_in,cash,guest00245@example.com,pending,C312,International,61.0,F
427,Radisson Blu Hotel Dubai Deira Creek,Dubai,Dubai,12345,UAE,transit,3.0,1.0,2.0,1.0,2026-03-10 17:28:00,2026-03-11 17:28:00,Yes,car,24097.86,honeymoon,3614.68,2457.98,22941.16,2.0,Business Class,walk_in,upi,guest00427@example.com,checked_in,C312,India,55.0,OTHER
64,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,wedding,2.0,2.0,0.0,10.0,2025-03-17 02:20:00,2025-03-27 02:20:00,,bus 25 seater,81803.71,students_exploring,16360.74,11779.73,77222.7,3.0,Family Room,travel_agent,cash,guest00064@example.com,checked_out,E510,International,24.0,OTHER
312,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,family,6.0,5.0,1.0,7.0,2026-04-09 17:18:00,2026-04-16 17:18:00,,e-cycle,44376.26,childrens_trips,8875.25,4260.12,39761.13,2.0,Business Class,website,net_banking,guest00312@example.com,confirmed,E510,International,72.0,M
339,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,family,4.0,4.0,0.0,2.0,2025-03-03 08:08:00,2025-03-05 08:08:00,,bus 11 seater,11543.74,,577.19,548.33,11514.88,3.0,Deluxe,walk_in,net_banking,guest00339@example.com,pending,A101,International,72.0,OTHER
273,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,family,3.0,2.0,1.0,10.0,2026-03-17 23:20:00,2026-03-27 23:20:00,No,motorcycle,67631.33,students_exploring,10144.7,10347.59,67834.22,2.0,Standard,phone,credit_card,guest00273@example.com,cancelled,E510,India,51.0,M
91,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,family,5.0,5.0,0.0,2.0,2026-01-16 14:48:00,2026-01-18 14:48:00,Yes,car,20626.48,honeymoon,1031.32,3527.13,23122.29,3.0,Deluxe,corporate_portal,net_banking,guest00091@example.com,checked_in,E510,India,34.0,F
263,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,transit,4.0,4.0,0.0,7.0,2025-05-05 22:15:00,2025-05-12 22:15:00,Yes,cycle,174112.55,,0.0,20893.51,195006.06,1.0,Suite,corporate_portal,upi,guest00263@example.com,cancelled,B205,India,65.0,OTHER
398,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,family,5.0,5.0,0.0,11.0,2026-05-23 16:40:00,2026-06-03 16:40:00,Yes,bus 11 seater,139289.53,,0.0,16714.74,156004.27,2.0,Deluxe,walk_in,cash,guest00398@example.com,cancelled,E510,India,53.0,M
468,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,transit,4.0,1.0,3.0,9.0,2025-12-17 07:13:00,2025-12-26 07:13:00,,bus 11 seater,155053.26,working_pro_business_trips,0.0,27909.59,182962.85,2.0,Family Room,travel_agent,debit_card,guest00468@example.com,checked_in,,India,22.0,F
421,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,family,3.0,3.0,0.0,7.0,2026-02-24 12:14:00,2026-03-03 12:14:00,,car,168192.11,senior_citizens,16819.21,27247.12,178620.02,3.0,Standard,walk_in,upi,guest00421@example.com,checked_out,,India,59.0,OTHER
105,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,leisure,7.0,3.0,4.0,9.0,2025-05-22 16:13:00,2025-05-31 16:13:00,No,cycle,116083.86,childrens_trips,11608.39,12537.06,117012.53,3.0,Business Class,phone,upi,guest00105@example.com,checked_out,D401,India,33.0,F
336,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,family,1.0,1.0,0.0,3.0,2026-05-01 15:11:00,2026-05-04 15:11:00,No,cycle,30747.84,students_exploring,0.0,3689.74,34437.58,1.0,Standard,phone,credit_card,guest00336@example.com,checked_out,B205,India,68.0,M
470,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,conference,2.0,2.0,0.0,8.0,2025-11-07 09:36:00,2025-11-15 09:36:00,No,bus 11 seater,159407.22,students_exploring,0.0,19128.87,178536.09,2.0,Suite,walk_in,net_banking,guest00470@example.com,checked_in,B205,International,19.0,F
476,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,conference,1.0,1.0,0.0,8.0,2025-11-12 00:10:00,2025-11-20 00:10:00,,bus 25 seater,158006.82,,15800.68,25597.11,167803.25,2.0,Deluxe,mobile_app,upi,guest00476@example.com,pending,,India,30.0,F
80,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,family,4.0,4.0,0.0,1.0,2025-06-19 23:28:00,2025-06-20 23:28:00,,motorcycle,18494.39,senior_citizens,1849.44,2996.09,19641.04,3.0,Deluxe,travel_agent,cash,guest00080@example.com,pending,C312,International,47.0,F
299,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,family,4.0,2.0,2.0,2.0,2025-01-25 14:40:00,2025-01-27 14:40:00,No,cycle,49953.0,,4995.3,2247.88,47205.58,1.0,Standard,phone,debit_card,guest00299@example.com,cancelled,C312,India,37.0,F
317,Radisson Blu Hotel Dubai Deira Creek,Dubai,Dubai,12345,UAE,transit,7.0,5.0,2.0,2.0,2025-10-14 14:33:00,2025-10-16 14:33:00,,e-cycle,7703.91,honeymoon,770.39,1248.03,8181.55,3.0,Family Room,walk_in,upi,guest00317@example.com,checked_out,A101,International,52.0,M
83,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,conference,5.0,4.0,1.0,5.0,2025-05-30 04:02:00,2025-06-04 04:02:00,,car,25099.95,honeymoon,5019.99,2409.6,22489.56,1.0,Business Class,mobile_app,debit_card,guest00083@example.com,checked_out,,International,25.0,F
132,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,business,4.0,4.0,0.0,10.0,2026-03-19 05:43:00,2026-03-29 05:43:00,Yes,bus 25 seater,161518.89,senior_citizens,0.0,29073.4,190592.29,2.0,Deluxe,phone,cash,guest00132@example.com,cancelled,C312,India,23.0,M
311,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,family,2.0,,1.0,7.0,2026-04-01 05:19:00,2026-04-08 05:19:00,No,e-cycle,123926.61,,18588.99,12640.51,117978.13,1.0,Standard,mobile_app,debit_card,guest00311@example.com,checked_out,,India,66.0,M
291,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,business,6.0,4.0,2.0,3.0,2025-02-25 22:33:00,2025-02-28 22:33:00,Yes,cycle,36838.19,,7367.64,5304.7,34775.25,3.0,Deluxe,corporate_portal,cash,guest00291@example.com,cancelled,D401,India,29.0,F
391,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,wedding,4.0,3.0,1.0,8.0,2025-11-17 01:08:00,2025-11-25 01:08:00,No,cycle,186309.6,childrens_trips,9315.48,21239.29,198233.41,2.0,Deluxe,travel_agent,cash,guest00391@example.com,pending,E510,International,21.0,M
8,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,abc123,Hungary,family,5.0,3.0,2.0,2.0,2026-05-28 05:32:00,2026-05-30 05:32:00,Yes,cycle,27155.56,working_pro_business_trips,0.0,1357.78,28513.34,1.0,Family Room,travel_agent,cash,guest00008@example.com,confirmed,A101,International,74.0,F
118,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,leisure,3.0,1.0,2.0,2.0,2025-07-13 23:48:00,2025-07-15 23:48:00,,car,23052.76,working_pro_business_trips,0.0,1152.64,24205.4,1.0,Suite,walk_in,credit_card,guest00118@example.com,pending,,India,43.0,F
341,Radisson Blu Hotel Dubai Deira Creek,Dubai,Dubai,12345,UAE,conference,6.0,4.0,2.0,7.0,2025-02-04 13:33:00,2025-02-11 13:33:00,Yes,car,125736.53,working_pro_business_trips,0.0,15088.38,140824.91,1.0,Suite,mobile_app,debit_card,guest00341@example.com,cancelled,C312,India,59.0,M
